"CODE","STATE"
1,"ALABAMA"
2,"ALASKA"
3,"ARIZONA"
4,"ARKANSAS"
5,"CALIFORNIA"
6,"COLORADO"
7,"CONNECTICUT"
8,"DELAWARE"
9,"DISTRICT OF COLUMBIA"
10,"FLORIDA"
11,"GEORGIA"
12,"HAWAII"
13,"IDAHO"
14,"ILLINOIS"
15,"INDIANA"
16,"IOWA"
17,"KANSAS"
18,"KENTUCKY"
19,"LOUISIANA"
20,"MAINE"
21,"MARYLAND"
22,"MASSACHUSETTS"
23,"MICHIGAN"
24,"MINNESOTA"
25,"MISSISSIPPI"
26,"MISSOURI"
27,"MONTANA"
28,"NEBRASKA"
29,"NEVADA"
30,"NEW HAMPSHIRE"
31,"NEW JERSEY"
32,"NEW MEXICO"
33,"NEW YORK"
34,"NORTH CAROLINA"
35,"NORTH DAKOTA"
36,"OHIO"
37,"OKLAHOMA"
38,"OREGON"
39,"PENNSYLVANIA"
40,"RHODE ISLAND"
41,"SOUTH CAROLINA"
42,"SOUTH DAKOTA"
43,"TENNESSEE"
44,"TEXAS"
45,"UTAH"
46,"VERMONT"
47,"VIRGINIA"
48,"WASHINGTON"
49,"WEST VIRGINIA"
50,"WISCONSIN"
51,"WYOMING"
